state,year,month,average_temperature
Michigan,1994,11,3.944444444444445
Michigan,1994,12,-0.9444444444444441
Michigan,1995,1,-5.055555555555556
Michigan,1995,2,-7.166666666666667
Michigan,1995,3,0.7222222222222207
Michigan,1995,4,3.8333333333333326
Michigan,1995,5,11.833333333333332
Michigan,1995,6,19.66666666666667
Michigan,1995,7,20.777777777777782
Michigan,1995,8,21.888888888888893
Michigan,1995,9,13.555555555555555
Michigan,1995,10,9.722222222222221
Michigan,1995,11,-1.8333333333333337
Michigan,1995,12,-6.555555555555555
Michigan,1996,1,-8.5
Michigan,1996,2,-7.222222222222222
Michigan,1996,3,-3.888888888888889
Michigan,1996,4,3.4999999999999982
Michigan,1996,5,10.666666666666668
Michigan,1996,6,17.944444444444443
Michigan,1996,7,18.22222222222222
Michigan,1996,8,19.66666666666667
Michigan,1996,9,15.277777777777779
Michigan,1996,10,8.722222222222223
Michigan,1996,11,-0.8333333333333334
Michigan,1996,12,-3.555555555555555
Michigan,1997,1,-8.055555555555555
Michigan,1997,2,-4.722222222222222
Michigan,1997,3,-1.3333333333333326
Michigan,1997,4,4.666666666666666
Michigan,1997,5,8.555555555555555
Michigan,1997,6,18.666666666666664
Michigan,1997,7,19.66666666666667
Michigan,1997,8,17.27777777777778
Michigan,1997,9,14.722222222222221
Michigan,1997,10,8.499999999999998
Michigan,1997,11,0.6111111111111119
Michigan,1997,12,-1.6666666666666667
Michigan,1998,1,-4.0
Michigan,1998,2,0.0
Michigan,1998,3,0.44444444444444287
Michigan,1998,4,7.6111111111111125
Michigan,1998,5,15.777777777777779
Michigan,1998,6,17.666666666666668
Michigan,1998,7,20.444444444444443
Michigan,1998,8,20.555555555555557
Michigan,1998,9,17.0
Michigan,1998,10,10.055555555555555
Michigan,1998,11,4.000000000000002
Michigan,1998,12,-1.2222222222222219
Michigan,1999,1,-7.944444444444445
Michigan,1999,2,-2.6111111111111107
Michigan,1999,3,-0.8888888888888897
Michigan,1999,4,7.666666666666665
Michigan,1999,5,14.277777777777779
Michigan,1999,6,19.111111111111114
Michigan,1999,7,22.11111111111111
Michigan,1999,8,18.5
Michigan,1999,9,15.38888888888889
Michigan,1999,10,8.0
Michigan,1999,11,5.0
Michigan,1999,12,-2.833333333333334
Michigan,2000,1,-7.055555555555555
Michigan,2000,2,-3.0555555555555554
Michigan,2000,3,3.7777777777777763
Michigan,2000,4,5.777777777777777
Michigan,2000,5,13.666666666666666
Michigan,2000,6,17.5
Michigan,2000,7,18.944444444444443
Michigan,2000,8,18.944444444444443
Michigan,2000,9,14.444444444444445
Michigan,2000,10,10.444444444444443
Michigan,2000,11,2.333333333333335
Michigan,2000,12,-8.944444444444445
Michigan,2001,1,-4.777777777777779
Michigan,2001,2,-5.499999999999999
Michigan,2001,3,-1.4444444444444453
Michigan,2001,4,7.833333333333333
Michigan,2001,5,14.000000000000002
Michigan,2001,6,18.000000000000004
Michigan,2001,7,20.222222222222225
Michigan,2001,8,20.888888888888886
Michigan,2001,9,14.277777777777779
Michigan,2001,10,8.777777777777777
Michigan,2001,11,6.4444444444444455
Michigan,2001,12,-0.055555555555556344
Michigan,2002,1,-2.5
Michigan,2002,2,-2.5555555555555562
Michigan,2002,3,-2.5555555555555562
Michigan,2002,4,6.333333333333332
Michigan,2002,5,9.833333333333336
Michigan,2002,6,18.666666666666664
Michigan,2002,7,22.444444444444446
Michigan,2002,8,20.0
Michigan,2002,9,17.38888888888889
Michigan,2002,10,6.944444444444445
Michigan,2002,11,0.944444444444446
Michigan,2002,12,-3.3333333333333335
Michigan,2003,1,-8.5
Michigan,2003,2,-8.722222222222221
Michigan,2003,3,-1.4999999999999996
Michigan,2003,4,5.222222222222221
Michigan,2003,5,11.555555555555554
Michigan,2003,6,16.72222222222222
Michigan,2003,7,19.88888888888889
Michigan,2003,8,20.444444444444443
Michigan,2003,9,15.277777777777779
Michigan,2003,10,8.11111111111111
Michigan,2003,11,3.1666666666666683
Michigan,2003,12,-1.8888888888888882
Michigan,2004,1,-9.833333333333334
Michigan,2004,2,-5.222222222222221
Michigan,2004,3,1.3888888888888888
Michigan,2004,4,6.7777777777777795
Michigan,2004,5,12.111111111111109
Michigan,2004,6,16.666666666666668
Michigan,2004,7,19.111111111111114
Michigan,2004,8,17.333333333333332
Michigan,2004,9,17.38888888888889
Michigan,2004,10,9.444444444444445
Michigan,2004,11,3.444444444444446
Michigan,2004,12,-4.722222222222222
Michigan,2005,1,-7.777777777777778
Michigan,2005,2,-3.7777777777777777
Michigan,2005,3,-2.6111111111111107
Michigan,2005,4,8.0
Michigan,2005,5,11.11111111111111
Michigan,2005,6,20.777777777777782
Michigan,2005,7,21.333333333333336
Michigan,2005,8,20.500000000000004
Michigan,2005,9,17.61111111111111
Michigan,2005,10,10.333333333333334
Michigan,2005,11,3.0555555555555554
Michigan,2005,12,-4.944444444444444
Michigan,2006,1,-1.1666666666666674
Michigan,2006,2,-5.277777777777778
Michigan,2006,3,0.22222222222222143
Michigan,2006,4,8.61111111111111
Michigan,2006,5,13.38888888888889
Michigan,2006,6,17.944444444444443
Michigan,2006,7,21.888888888888893
Michigan,2006,8,19.833333333333332
Michigan,2006,9,14.055555555555554
Michigan,2006,10,7.055555555555557
Michigan,2006,11,3.8333333333333326
Michigan,2006,12,-0.2777777777777778
Michigan,2007,1,-4.388888888888888
Michigan,2007,2,-9.333333333333334
Michigan,2007,3,1.555555555555554
Michigan,2007,4,5.444444444444443
Michigan,2007,5,14.333333333333334
Michigan,2007,6,19.499999999999996
Michigan,2007,7,20.0
Michigan,2007,8,20.444444444444443
Michigan,2007,9,16.555555555555557
Michigan,2007,10,12.444444444444445
Michigan,2007,11,1.7777777777777795
Michigan,2007,12,-4.388888888888888
Michigan,2008,1,-5.111111111111111
Michigan,2008,2,-7.666666666666667
Michigan,2008,3,-2.7777777777777777
Michigan,2008,4,7.6111111111111125
Michigan,2008,5,10.666666666666668
Michigan,2008,6,18.22222222222222
Michigan,2008,7,20.166666666666668
Michigan,2008,8,19.166666666666668
Michigan,2008,9,15.88888888888889
Michigan,2008,10,8.222222222222221
Michigan,2008,11,2.055555555555557
Michigan,2008,12,-6.222222222222222
Michigan,2009,1,-10.777777777777779
Michigan,2009,2,-5.055555555555556
Michigan,2009,3,-0.22222222222222143
Michigan,2009,4,6.166666666666668
Michigan,2009,5,12.055555555555557
Michigan,2009,6,16.944444444444443
Michigan,2009,7,17.5
Michigan,2009,8,18.555555555555557
Michigan,2009,9,16.0
Michigan,2009,10,7.000000000000001
Michigan,2009,11,5.0
Michigan,2009,12,-4.666666666666666
Michigan,2010,1,-5.944444444444445
Michigan,2010,2,-4.944444444444444
Michigan,2010,3,3.111111111111112
Michigan,2010,4,9.444444444444445
Michigan,2010,5,14.61111111111111
