state,year,n_incidents,lawtotal,laws_1,laws_2,laws_3,laws_4,laws_5,laws_6,laws_7,laws_8,laws_9,laws_10,laws_11,laws_12,laws_13,laws_14
Pennsylvania,2016,16.053480307691704,37.0,10,3,5,6,0,1,5,0,1,1,0,0,0,5
Pennsylvania,2017,15.859062668399902,37.0,10,3,5,6,0,1,5,0,1,1,0,0,0,5
Rhode Island,2014,17.614703921449784,42.0,8,9,3,9,1,3,3,0,4,0,1,0,1,0
Rhode Island,2015,20.547977633952453,42.0,8,9,3,9,1,3,3,0,4,0,1,0,1,0
Rhode Island,2016,21.859061101280314,42.0,8,9,3,9,1,3,3,0,4,0,1,0,1,0
Rhode Island,2017,17.524365973175406,52.0,8,9,3,9,1,3,3,0,4,0,1,0,1,10
South Carolina,2014,32.52745812944933,12.0,0,0,3,0,0,5,4,0,0,0,0,0,0,0
South Carolina,2015,32.849966618546674,12.0,0,0,3,0,0,5,4,0,0,0,0,0,0,0
South Carolina,2016,28.318052879728146,12.0,0,0,3,0,0,5,4,0,0,0,0,0,0,0
South Carolina,2017,32.3822588238668,12.0,0,0,3,0,0,5,4,0,0,0,0,0,0,0
South Dakota,2014,7.7726705836215695,5.0,0,0,1,0,0,0,3,0,0,0,0,0,0,1
South Dakota,2015,11.47557108530799,5.0,0,0,1,0,0,0,3,0,0,0,0,0,0,1
South Dakota,2016,16.222554913348382,5.0,0,0,1,0,0,0,3,0,0,0,0,0,0,1
South Dakota,2017,21.652758492693053,5.0,0,0,1,0,0,0,3,0,0,0,0,0,0,1
Tennessee,2014,22.64102599773773,24.0,4,1,4,0,0,5,3,0,0,0,0,0,0,7
Tennessee,2015,25.245897162415776,24.0,4,1,4,0,0,5,3,0,0,0,0,0,0,7
Tennessee,2016,28.90456078158173,22.0,4,1,4,0,0,3,3,0,0,0,0,0,0,7
Tennessee,2017,26.32363855289151,22.0,4,1,4,0,0,3,3,0,0,0,0,0,0,7
Texas,2014,10.714153396636958,20.0,0,1,1,0,0,5,4,0,4,0,0,0,0,5
Texas,2015,11.095718188561392,20.0,0,1,1,0,0,5,4,0,4,0,0,0,0,5
Texas,2016,11.99380534999665,18.0,0,1,1,0,0,3,4,0,4,0,0,0,0,5
Texas,2017,9.284236275083828,18.0,0,1,1,0,0,3,4,0,4,0,0,0,0,5
Utah,2014,6.8780497936755305,11.0,0,0,3,0,0,2,3,0,0,2,0,0,0,1
Utah,2015,10.362746429631418,11.0,0,0,3,0,0,2,3,0,0,2,0,0,0,1
Utah,2016,7.659766958987043,11.0,0,0,3,0,0,2,3,0,0,2,0,0,0,1
Utah,2017,6.771917310375029,13.0,0,0,3,0,0,2,3,0,0,2,0,0,0,3
Vermont,2014,25.751182795010987,3.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Vermont,2015,17.433974818302797,6.0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
Vermont,2016,14.11032025616645,6.0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
Vermont,2017,10.731263534205503,6.0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
Virginia,2014,14.37854658282109,12.0,0,0,4,0,0,1,4,0,0,2,1,0,0,0
Virginia,2015,15.044593226728,12.0,0,0,4,0,0,1,4,0,0,2,1,0,0,0
Virginia,2016,17.63354706825336,13.0,0,0,4,0,0,1,4,0,0,2,1,0,0,1
Virginia,2017,16.399666004496677,13.0,0,0,4,0,0,1,4,0,0,2,1,0,0,1
Washington,2014,8.547547683054663,41.0,7,3,4,11,1,2,5,0,0,0,1,0,0,7
Washington,2015,11.935244805830317,41.0,7,3,4,11,1,2,5,0,0,0,1,0,0,7
Washington,2016,9.705582258853637,43.0,7,3,4,11,1,4,5,0,0,0,1,0,0,7
Washington,2017,11.04620790418142,43.0,7,3,4,11,1,4,5,0,0,0,1,0,0,7
West Virginia,2014,18.599732142229556,24.0,1,2,6,0,2,1,5,0,0,0,0,0,0,7
West Virginia,2015,17.643386444450474,24.0,1,2,6,0,2,1,5,0,0,0,0,0,0,7
West Virginia,2016,20.26189731095677,18.0,1,2,6,0,2,0,0,0,0,0,0,0,0,7
West Virginia,2017,20.25311997111729,18.0,1,2,6,0,2,0,0,0,0,0,0,0,0,7
Wisconsin,2014,17.786587035612296,24.0,0,2,5,0,0,2,5,0,2,0,1,0,1,6
Wisconsin,2015,18.347700201703194,23.0,0,1,5,0,0,2,5,0,2,0,1,0,1,6
Wisconsin,2016,14.066383629778327,23.0,0,1,5,0,0,2,5,0,2,0,1,0,1,6
Wisconsin,2017,22.90081873017551,23.0,0,1,5,0,0,2,5,0,2,0,1,0,1,6
Wyoming,2014,10.471545720313598,8.0,0,2,1,0,0,3,0,0,0,0,1,0,1,0
Wyoming,2015,33.127679884155576,8.0,0,2,1,0,0,3,0,0,0,0,1,0,1,0
Wyoming,2016,20.36921338890648,8.0,0,2,1,0,0,3,0,0,0,0,1,0,1,0
Wyoming,2017,15.200429757604965,8.0,0,2,1,0,0,3,0,0,0,0,1,0,1,0
