state,year,month,n_incidents,average_temperature
Massachusetts,2014,2,0.6358504929172171,-4.388888888888888
Massachusetts,2014,3,0.8872332459310005,-1.6111111111111103
Massachusetts,2014,4,0.9611693497585838,7.722222222222222
Massachusetts,2014,5,0.9611693497585838,14.000000000000002
Massachusetts,2014,6,1.1238287781792673,18.833333333333336
Massachusetts,2014,7,1.5526581803792507,21.77777777777778
Massachusetts,2014,8,2.084998127937851,19.555555555555557
Massachusetts,2014,9,1.1977648820068505,16.833333333333332
Massachusetts,2014,10,1.1534032197103006,11.833333333333332
Massachusetts,2014,11,1.0646798951172005,3.7777777777777763
Massachusetts,2014,12,1.1829776612413339,1.5000000000000016
Massachusetts,2015,1,1.2804986821166437,-5.666666666666667
Massachusetts,2015,2,0.9566944176733545,-9.666666666666666
Massachusetts,2015,3,1.722049951812038,-1.4999999999999996
Massachusetts,2015,4,1.5748661952469067,7.5
Massachusetts,2015,5,1.8103602057511168,16.555555555555557
Massachusetts,2015,6,1.5454294439338805,17.555555555555557
Massachusetts,2015,7,2.1488828458509195,21.666666666666668
Massachusetts,2015,8,2.001699089285788,21.722222222222218
Massachusetts,2015,9,1.5895845709034198,19.0
Massachusetts,2015,10,1.30993543342967,10.055555555555555
Massachusetts,2015,11,1.8103602057511168,7.055555555555557
Massachusetts,2015,12,1.3835273117122358,5.444444444444443
Massachusetts,2016,1,1.743945431800889,-1.9444444444444444
Massachusetts,2016,2,1.4068803483435743,-0.6111111111111119
Massachusetts,2016,3,1.6413604064008365,5.0
Massachusetts,2016,4,1.9344604789724147,7.222222222222222
Massachusetts,2016,5,1.9198054753438356,14.000000000000002
Massachusetts,2016,6,1.6120503991436788,18.944444444444443
Massachusetts,2016,7,2.1103205225153614,22.555555555555554
Massachusetts,2016,8,1.9784254898581513,22.5
Massachusetts,2016,9,1.9051504717152568,18.111111111111107
Massachusetts,2016,10,1.9637704862295724,11.222222222222223
Massachusetts,2016,11,1.9198054753438356,5.666666666666668
Massachusetts,2016,12,1.9637704862295724,-0.5555555555555556
Massachusetts,2017,1,2.2303893020616234,-0.2777777777777778
Massachusetts,2017,2,1.7201695270802062,0.5555555555555556
Massachusetts,2017,3,1.734747234936818,-0.2777777777777778
Massachusetts,2017,4,2.274122425631459,10.111111111111112
Massachusetts,2017,5,2.0263013920690565,12.888888888888891
Massachusetts,2017,6,2.2012338863483993,18.88888888888889
Massachusetts,2017,7,2.113767639208728,21.11111111111111
Massachusetts,2017,8,2.4636326277674137,20.0
Massachusetts,2017,9,1.924257437072773,18.388888888888886
Massachusetts,2017,10,1.9096797292161611,14.166666666666666
Massachusetts,2017,11,2.1866561784917873,4.61111111111111
Massachusetts,2017,12,2.244967009918235,-2.999999999999999
Michigan,2014,1,0.9164289322454885,-10.944444444444445
Michigan,2014,2,0.8560050466029289,-10.722222222222221
Michigan,2014,3,0.9567115226738617,-6.111111111111111
Michigan,2014,4,1.1077712367802608,5.1111111111111125
Michigan,2014,5,1.3897493697788728,12.555555555555555
Michigan,2014,6,1.1782657700299137,18.444444444444443
Michigan,2014,7,1.188336417637007,18.22222222222222
